8.301,1352.205,48726.593,29861.99,23.0
4.516,521.774,4899.747,7531.68,23.0
11.296,855.067,37458.125,13925.692,23.0
5.827,501.375,14372.565,6004.178,23.0
5.639,807.597,47038.436,12736.531,23.0
6.306,462.492,5987.394,6771.987,23.0
6.681,704.838,7526.016,12091.524,23.0
4.404,531.733,3132.676,6693.579,23.0
5.545,752.691,3081.83,14613.458,23.0
6.93,564.714,8963.663,11341.865,23.0
8.664,678.758,6192.186,12921.918,23.0
5.973,674.392,29641.173,11289.096,23.0
10.912,932.833,40121.503,20470.273,23.0
11.622,792.867,23377.018,16711.205,23.0
